metric,value
cumulative_return,-0.07%
annualized_return,-0.01%
annualized_volatility,3.41%
sharpe_ratio,-0.0023
max_drawdown,-10.89%
number_of_trades,39
hit_rate,n/a
average_holding_period,n/a
gross_return,1.06%
net_return,-0.07%
total_transaction_costs,1.12%
